HS_ID,Opp ID,"Event/
Non-Event",Builder,"Project 
Name",City,Package_ID,"Product_Sub_
category",Quantity,Sales,"APM 
Name",Expected TAT,HS _Product,Status,Latest_Date,TL Name,TL Rating,Projected Hour,Working Hour,Remaining Hour,Project Work Priority Status,Partial Delivery Status,Project FeedBack,Beyond TAT comments,Apprvoal ,Link 1,No
X1,Profile Video,,Profile Video,Profile Video,,,,,,Anil,,Profile_Video,,,Shubham,,502:15:00,485:11:56,,,,,,,,1
Y1,Digilite,,Digilite,Digilite,,,,,,Anil,,Digilite,,,Ankur Sharma & Vivek Kumar & Parth Kaushik,,690:36:00,697:40:56,,,,,,,,1
Z1,PT Virtual Tour,,PT Virtual Tour,PT Virtual Tour,,,,,,Anil,,PT_Virtual_Tour,,,Ankur Sharma,,166:53:00,162:31:45,,,,,,,,1
V1,Offline Digtour Video Creation,,Offline Digtour Video Creation,Offline Digtour Video Creation,,,,,,,,Offline Digtour Video Creation,,,Shubham,,29:05:00,29:05:00,,,,,,,,1
A3,https://lookup.housing.com/opportunity/2695648,,Pks Buildmart,Pks Buildmart,Noida,1230585,,1,Neeraj Malhotra,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,9-Jul-2024,Parth Kaushik,3,321:30:00,321:25:00,0:05:00,,,,"Server crash, recreated project ",,,3
A11,https://lookup.housing.com/opportunity/2877135,,Aniruddha Group,Aniruddha Group - KT Infra,Mumbai,,,1,Rohan Yeshwant Nimbalkar,Anil,,Virtual_Full_Project_Digitour,Deemed Consumed,7-Jan-2025,Ankur Sharma,,0:00:00,0:00:00,0:00:00,,,,,,,11
A13,,,,,,,,,,,,,,,,,0:00:00,0:00:00,0:00:00,,,,,,,13
A81,https://lookup.housing.com/opportunity/3089727,,KRasa International Pvt. Ltd.,KRasa International Pvt. Ltd.,Noida,1217907,WT Q3,1,Tarang Saxena,Jagadish,,Walkthrough,Deemed Consumed,28-Oct-2024,Parth Kaushik,2,1052:25:00,1051:20:00,1:05:00,,,"Time taken too much in tower model creation 
Delivered without water mark ",,"Approval recived from RBH
Approval recived from BH
Approval recived from Abhiudaya ",,81
A140,https://lookup.housing.com/opportunity/3204756,,Palm Olympia,Palm Olympia,Noida,1413959,,1,Manjot Singh,Jagadish,60,Virtual_Full_Project_Digitour,Final Delivery,17-Mar-2025,Ankur Sharma,2,14:30:00,4:30:00,10:00:00,,,"Need to improve on data check 
Not filled estimation time 
Tower model made mistak",,Approval recived from Abhiudaya and AD,20 Sept 2023,140
A162,https://lookup.housing.com/opportunity/3273601,,KRasa International Pvt. Ltd.,KRasa International Pvt. Ltd.,Noida,1435476,Dependent Product,4,Tarang Saxena,Jagadish,,RenderViews_StillImages,Deemed Consumed,16-Jul-2024,Vivek Kumar,,0:00:00,0:00:00,0:00:00,,,,,,,162
A306,https://lookup.housing.com/opportunity/3865289,,Modern Spaaces,Vista,Bangalore,1602372,,1,Deepak Kumar Panigrahy / Ankit Vaid,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,10-Dec-2024,Ankur Sharma,,109:00:00,103:00:00,6:00:00,,,,As there are no update so deemed consumed ,,,306
A312,https://lookup.housing.com/opportunity/3866099,,Z estates,Z Padmabha,Bhubaneswar,1602751,,1,Debashis Das,Jagadish,,Virtual_Full_Project_Digitour,Deemed Consumed,13-Sep-2024,Parth Kaushik,,447:30:00,449:10:00,-1:40:00,,,,,,,312
A342,https://lookup.housing.com/opportunity/6679942,,Well Wisher Group,Well Wisher Group - Q3 - 3 MIn ,Pune,2156013,Dependent Product,1,Lubaba Navid Momin,Anil,,Walkthrough,Final Delivery with Watermark,9-Apr-2025,Parth Kaushik,,922:30:00,922:32:45,-0:02:45,,>30 Days,,"Modeling changes done with Amit M's approval, then Sachet's approval",,,342
